+------+----------+-----------------+---------+----------------+----+---------+---------+-------------+-------+----+------------+------------+-----------------+-----------------------------+----------+---------+---------------------------+
|dateID|date      |month_weekday_int|day_str  |week_weekday_int|week|month_int|month_str|month_firstOf|quarter|year|year_day_int|is_leap_year|date_str_abr     |date_str_full                |unix_ts   |isHoliday|holiday                    |
|126   |2021-05-06|6                |Thursday |5               |18  |5        |May      |2021-05-01   |2      |2021|126         |0           |Thu 6th May 2021 |Thursday 6th May 2021        |1620280800|0        |NULL                       |
|127   |2021-05-07|7                |Friday   |6               |18  |5        |May      |2021-05-01   |2      |2021|127         |0           |Fri 7th May 2021 |Friday 7th May 2021          |1620367200|0        |NULL                       |
|128   |2021-05-08|8                |Saturday |7               |18  |5        |May      |2021-05-01   |2      |2021|128         |0           |Sat 8th May 2021 |Saturday 8th May 2021        |1620453600|0        |NULL                       |
|129   |2021-05-09|9                |Sunday   |1               |19  |5        |May      |2021-05-01   |2      |2021|129         |0           |Sun 9th May 2021 |Sunday 9th May 2021          |1620540000|1        |Mother's Day               |
|130   |2021-05-10|10               |Monday   |2               |19  |5        |May      |2021-05-01   |2      |2021|130         |0           |Mon 10th May 2021|Monday 10th May 2021         |1620626400|0        |NULL                       |
|131   |2021-05-11|11               |Tuesday  |3               |19  |5        |May      |2021-05-01   |2      |2021|131         |0           |Tue 11th May 2021|Tuesday 11th May 2021        |1620712800|0        |NULL                       |
|132   |2021-05-12|12               |Wednesday|4               |19  |5        |May      |2021-05-01   |2      |2021|132         |0           |Wed 12th May 2021|Wednesday 12th May 2021      |1620799200|0        |NULL                       |
|133   |2021-05-13|13               |Thursday |5               |19  |5        |May      |2021-05-01   |2      |2021|133         |0           |Thu 13th May 2021|Thursday 13th May 2021       |1620885600|0        |NULL                       |
|134   |2021-05-14|14               |Friday   |6               |19  |5        |May      |2021-05-01   |2      |2021|134         |0           |Fri 14th May 2021|Friday 14th May 2021         |1620972000|0        |NULL                       |
|135   |2021-05-15|15               |Saturday |7               |19  |5        |May      |2021-05-01   |2      |2021|135         |0           |Sat 15th May 2021|Saturday 15th May 2021       |1621058400|0        |NULL                       |
